practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,1071.7734625362941,33.0,0.0021018482538189467,False,0.014221466666185734,None,['space'],1,[0.5207974999996168],389.59614439999996,390.59954240000025,None,1,390.59954240000025,389.59614439999996,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,4924.577653379667,10.0,0.00046661480265494947,False,0.012403700000049867,None,None,0,,394.4820992,395.4987731000001,None,1,395.4987731000001,394.4820992,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,18.0,0.005740768107484416,False,0.005969566666408355,0.20016056666645454,['space'],1,[0.6694022999997742],401.03131140000005,402.0434525999999,None,1,402.0434525999999,401.03131140000005,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.012913133333313453,None,None,0,,404.80727690000003,405.8207327,None,1,405.8207327,404.80727690000003,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,615.5722066724584,17.0,0.0003781520069199875,False,0.015253566667070118,None,None,0,,409.93735730000026,410.9494402999999,None,1,410.9494402999999,409.93735730000026,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,2462.2888266898335,8.0,0.00021365971721055244,False,0.014986066666551778,None,None,0,,415.13533719999987,416.15253329999996,['space'],0,416.15253329999996,415.13533719999987,[0.23618379999993522],,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,287.17458874925893,29.0,0.0036103380212600222,False,0.011652566666725761,None,['space'],1,[0.6616888000000927],421.6315668000002,422.62826700000005,None,1,422.62826700000005,421.6315668000002,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.01371243333323946,None,None,0,,424.3576029999999,425.37320020000016,None,1,425.37320020000016,424.3576029999999,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,435.2752816480623,29.0,0.0021067953760734114,False,0.008290533333365602,None,['space'],1,[0.5973222000000078],430.8481415000001,431.84577290000016,None,1,431.84577290000016,430.8481415000001,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,1515.7165665103996,21.0,0.0005568608891974556,False,0.014347966666719003,None,['space'],1,[0.5741468999997323],436.7582357000001,437.7748289000001,None,1,437.7748289000001,436.7582357000001,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
