practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,812.2523963562351,12.0,0.00015413240703763653,False,0.01612096664030105,None,['space'],1,[0.6720936000347137],229.38221339997835,230.38633819995448,None,1,230.38633819995448,229.38221339997835,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,6062.8662660415985,2.0,0.00014960120558102564,False,0.014391499920748174,None,None,0,,233.13811939989682,234.14115619997028,None,1,234.14115619997028,233.13811939989682,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,125.0,4.0,0.0011454338263838868,False,0.007221833220683038,None,['space'],1,[0.6729365999344736],238.14979729999322,239.14450449997094,None,1,239.14450449997094,238.14979729999322,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.012547033373266459,None,None,0,,240.67718719993718,241.67962349997833,None,1,241.67962349997833,240.67718719993718,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,203.0630990890589,-1.0,0.00023122706035812028,False,0.006225666613318026,None,['space'],1,[0.6146327999886125],244.16713519999757,245.1728164999513,None,1,245.1728164999513,244.16713519999757,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,2639.015821545789,6.0,0.0001541470957770084,False,0.01086813339497894,None,None,0,,247.59954609989654,248.61509449989535,None,1,248.61509449989535,247.59954609989654,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,574.3491774985172,6.0,0.00011940886477193755,False,0.004795333370566368,None,None,0,,251.13847709994297,252.1635928999167,None,1,252.1635928999167,251.13847709994297,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,8000.0,6.0,0.00036221798003749513,False,0.014818766620010138,None,None,0,,255.61055389989633,256.6344563999446,None,1,256.6344563999446,255.61055389989633,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,164.93848884661182,-2.0,0.00031227859543881493,False,0.008940233383327723,None,None,0,,259.79691029991955,260.8276462999638,None,1,260.8276462999638,259.79691029991955,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,1148.6983549970344,9.0,0.00014168593883541098,False,0.011878899997100234,None,['space'],1,[0.5731687999796122],265.289393199957,266.3010059999069,None,1,266.3010059999069,265.289393199957,,nfsmrp,001,fr,200,2022-06-21_16h11.11.135,Bayesian,2022.1.1,None,
