practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,1414.213562373095,-1.0,4.494787037834757e-05,False,0.015757433255203068,None,['space'],1,[0.8127989999484271],190.29319130000658,191.2975389000494,None,1,191.2975389000494,190.29319130000658,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,125.0,10.0,0.002285440948074376,False,0.01555776665918529,None,['space'],1,[0.13785349996760488],195.39905909996014,196.4095392000163,None,1,196.4095392000163,195.39905909996014,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.012063433299772441,None,None,0,,197.46652040001936,198.47686199995223,None,1,198.47686199995223,197.46652040001936,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,250.0,1.0,0.00018791870214422208,False,0.002734166686423123,None,None,0,,202.73989970004186,203.74288799997885,None,1,203.74288799997885,202.73989970004186,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,406.12619817811805,3.0,0.0001076937612164121,False,0.007153766811825335,None,None,0,,207.35433410003316,208.3526036000112,None,1,208.3526036000112,207.35433410003316,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,3482.202253184498,1.0,8.398389572004273e-05,False,0.0036603333428502083,0.19799793337006122,None,0,,211.1258282000199,212.14443089999259,['space'],0,212.14443089999259,211.1258282000199,[0.06491469999309629],,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.013961333315819502,None,None,0,,214.44962670002133,215.45879559998866,None,1,215.45879559998866,214.44962670002133,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,-6.0,2.2078522367665627e-05,False,0.004897900042124093,None,None,0,,218.3214933000272,219.32747210003436,None,1,219.32747210003436,218.3214933000272,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,1866.0659830736151,0.0,6.876424606830584e-05,False,0.014550200081430376,None,['space'],1,[0.6535045000491664],223.28338689997327,224.30324170005042,None,1,224.30324170005042,223.28338689997327,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,329.87697769322364,7.0,0.00021213884143633376,False,0.0044207333121448755,0.19699353328906,['space'],1,[0.7817943000700325],227.84359730000142,228.86646629997995,None,1,228.86646629997995,227.84359730000142,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,125.0,8.0,0.0018153902738505074,False,0.00479623326100409,None,['space'],1,[0.7641200000653043],231.58896299998742,232.59983690001536,None,1,232.59983690001536,231.58896299998742,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,8000.0,-4.0,0.00011454338263838867,False,0.0035662667360156775,0.1969895666697994,None,0,,235.55514139996376,236.54956970002968,None,1,236.54956970002968,235.55514139996376,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,176.7766952966369,3.0,0.0004944177713899504,False,0.0006903334287926555,None,['space'],1,[0.7881773998960853],240.50956469995435,241.51450769999065,None,1,241.51450769999065,240.50956469995435,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,659.7539553864473,-3.0,3.4374622581541374e-05,False,0.005764700006693602,None,None,0,,245.1492312999908,246.15799470001366,None,1,246.15799470001366,245.1492312999908,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,5656.85424949238,-4.0,8.109296367558474e-05,False,0.0049374665832147,0.2033045666757971,['space'],1,[0.7593636999372393],249.89786090003327,250.9190100999549,None,1,250.9190100999549,249.89786090003327,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,4000.0,0.0,8.394020090612804e-05,False,0.01333793334197253,0.20970973337534815,['space'],1,[0.6897032000124454],254.23907560005318,255.23423900001217,None,1,255.23423900001217,254.23907560005318,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,1319.5079107728945,-5.0,2.9682383261324144e-05,False,0.01394340000115335,None,None,0,,258.9368299000198,259.9412266999716,None,1,259.9412266999716,258.9368299000198,,,ddmfvc,001,fr,200,2022-05-05_10h25.45.460,Bayesian,2022.1.1,None,
