practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",250,-10,5.296268625886443e-05,False,0.014350700017530471,None,None,0,,155.48248589999275,156.49086869999883,None,1,156.49086869999883,155.48248589999275,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",250,10,0.0005296268625886444,False,0.010936500038951635,None,None,0,,157.75547889998415,158.76922220000415,None,1,158.76922220000415,157.75547889998415,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10], [250, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",250,30,0.005296268625886445,False,0.016469900001538917,None,['space'],1,[0.38511609999113716],161.8534860999789,162.8635502999823,None,1,162.8635502999823,161.8534860999789,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10], [250, 10], [250, 30]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.013600233301986009,None,None,0,,164.65963919999194,165.6760534000059,None,1,165.6760534000059,164.65963919999194,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10], [250, 10], [250, 30]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",125,10,0.002285440948074376,False,0.010818799986736849,None,None,0,,167.16589259999455,168.18586779999896,['space'],0,168.18586779999896,167.16589259999455,[0.3717690000194125],,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10], [250, 10], [250, 30], [125, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",125,20,0.00722719885372964,False,0.015944400016451254,None,['space'],1,[0.3576112999871839],169.96052110000164,170.9742489999917,None,1,170.9742489999917,169.96052110000164,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10], [250, 10], [250, 30], [125, 10], [125, 20]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",353.5533905932738,9.0,0.0002497434789550849,False,0.0005706333031412214,None,None,0,,175.39904829999432,176.430826900003,None,1,176.430826900003,175.39904829999432,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.012679533334448934,None,None,0,,178.87900049999007,179.89902129999246,None,1,179.89902129999246,178.87900049999007,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,189.4645708137998,15.0,0.0017084605332667944,False,5.573331145569682e-05,0.18433443331741728,['space'],1,[0.3923844000091776],183.38169469998684,184.3876190999872,None,1,184.3876190999872,183.38169469998684,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,8000.0,2.0,0.0002285440948074376,False,0.010064233327284455,None,['space'],1,[0.3955596999730915],187.5224294999789,188.54184649998206,None,1,188.54184649998206,187.5224294999789,,,regvnx,001,fr,200,2022-04-28_14h47.25.555,Bayesian,2022.1.1,None,
