practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10], [4000, -10], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, 10], [750, 30], [500, 10], [500, -10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",250,10,0.0005296268625886444,False,0.011166600001160987,None,['space'],1,[0.45352480000292417],134.1934750000073,135.2012820999953,None,1,135.2012820999953,134.1934750000073,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10], [4000, -10], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, 10], [750, 30], [500, 10], [500, -10], [250, 10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.00034486666845623404,0.19810756666993257,None,0,,136.2434374000004,137.25476060000074,None,1,137.25476060000074,136.2434374000004,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10], [4000, -10], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, 10], [750, 30], [500, 10], [500, -10], [250, 10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",250,-10,5.296268625886443e-05,False,0.008646900008898228,None,None,0,,139.18809060000058,140.19995259999996,None,1,140.19995259999996,139.18809060000058,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10], [4000, -10], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, 10], [750, 30], [500, 10], [500, -10], [250, 10], [250, -10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",125,10,0.002285440948074376,False,0.016298366666887887,None,['space'],1,[0.45387460000347346],141.78531239999575,142.79353090000222,None,1,142.79353090000222,141.78531239999575,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10], [4000, -10], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, 10], [750, 30], [500, 10], [500, -10], [250, 10], [250, -10], [125, 10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",125,-10,0.0002285440948074376,False,0.004233999992720783,0.2012057999963872,None,0,,144.612498100003,145.6364723000006,None,1,145.6364723000006,144.612498100003,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, -10], [2000, 10], [2000, -10], [3000, 10], [3000, -10], [4000, 10], [4000, -10], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, 10], [750, 30], [500, 10], [500, -10], [250, 10], [250, -10], [125, 10], [125, -10]], 'y': [[1], [1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",176.7766952966369,2.0,0.00044065030258128913,False,0.008723833336262032,None,None,0,,149.76569349999772,150.76918319999822,None,1,150.76918319999822,149.76569349999772,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,353.5533905932738,2.0,0.0001115563142959358,False,0.009607533342204988,None,['space'],1,[0.5253758000035305],153.32242140000744,154.34165210000356,None,1,154.34165210000356,153.32242140000744,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,2462.2888266898335,1.0,9.543828998156852e-05,False,0.013548500020988286,None,None,0,,158.73637210000015,159.74076470000728,None,1,159.74076470000728,158.73637210000015,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.012856733330409043,None,None,0,,160.80112889999873,161.8224063999951,None,1,161.8224063999951,160.80112889999873,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,8000.0,2.0,0.0002285440948074376,False,0.0020139333355473354,0.18816513333877083,['space'],1,[0.3725125999917509],164.23470129999623,165.26589769999555,None,1,165.26589769999555,164.23470129999623,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,4924.577653379667,1.0,0.0001655611795965586,False,0.014015666660270654,None,['space'],1,[0.4703661999956239],168.98399969999446,169.98482949999743,None,1,169.98482949999743,168.98399969999446,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,1231.1444133449168,5.0,9.553014735722362e-05,False,0.0064325999992433935,None,None,0,,173.92702020000434,174.93031450000126,None,1,174.93031450000126,173.92702020000434,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0136180333502125,None,None,0,,177.75108739999996,178.774828900001,None,1,178.774828900001,177.75108739999996,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,125.0,4.0,0.0011454338263838868,False,0.010286799995810725,None,['space'],1,[0.38251100000343286],181.09764890000224,182.1108099999983,None,1,182.1108099999983,181.09764890000224,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
